Date,ITEM_ID,MARKET_ID,YESTERDAYS_PRICE,IS_HOLIDAY,FUEL_PRICE,TODAYS_PRICE,,,,,,,,,,
15/01/2026,6,1,110,1,279,95,,,,,,,,,Tomato,4
15/01/2026,7,0,300,1,279,300,,,,,,,,,Brinjal,5
15/01/2026,7,1,275,1,279,195,,,,,,,,,Pumpkin,6
15/01/2026,8,0,650,1,279,650,,,,,,,,,Snake Gourd,7
15/01/2026,8,1,575,1,279,575,,,,,,,,,Green Chilli,8
15/01/2026,9,0,180,1,279,180,,,,,,,,,Lime,9
15/01/2026,9,1,140,1,279,125,,,,,,,,,Red Onion (Local),10
15/01/2026,10,0,210,1,279,195,,,,,,,,,Big Onion (Local),11
15/01/2026,10,1,230,1,279,215,,,,,,,,,Potato (Local),12
15/01/2026,11,0,225,1,279,245,,,,,,,,,Red Dhal,13
15/01/2026,11,1,280,1,279,280,,,,,,,,,Banana (Sour),14
15/01/2026,12,0,400,1,279,400,,,,,,,,,Papaw,15
15/01/2026,12,1,310,1,279,310,,,,,,,,,Pineapple,16
15/01/2026,13,0,250,1,279,250,,,,,,,,,,
15/01/2026,13,1,270,1,279,270,,,,,,,,,,
15/01/2026,14,0,120,1,279,100,,,,,,,,,,
15/01/2026,14,1,110,1,279,125,,,,,,,,,Markets,
15/01/2026,15,0,250,1,279,250,,,,,,,,,Pettah,0
15/01/2026,15,1,180,1,279,175,,,,,,,,,Dambulla,1
15/01/2026,16,0,235,1,279,245,,,,,,,,,,
15/01/2026,16,1,275,1,279,275,,,,,,,,,,
14/01/2026,1,0,550,0,279,550,,,,,,,,,,
14/01/2026,1,1,425,0,279,400,,,,,,,,,,
14/01/2026,2,0,350,0,279,350,,,,,,,,,,
14/01/2026,2,1,285,0,279,270,,,,,,,,,,
14/01/2026,3,0,220,0,279,250,,,,,,,,,,
14/01/2026,3,1,205,0,279,185,,,,,,,,,,
14/01/2026,4,0,450,0,279,450,,,,,,,,,,
14/01/2026,4,1,450,0,279,365,,,,,,,,,,
14/01/2026,5,0,350,0,279,350,,,,,,,,,,
14/01/2026,5,1,275,0,279,190,,,,,,,,,,
14/01/2026,6,0,130,0,279,130,,,,,,,,,,
14/01/2026,6,1,110,0,279,95,,,,,,,,,,
14/01/2026,7,0,300,0,279,300,,,,,,,,,,
14/01/2026,7,1,275,0,279,195,,,,,,,,,,
14/01/2026,8,0,650,0,279,650,,,,,,,,,,
14/01/2026,8,1,575,0,279,575,,,,,,,,,,
14/01/2026,9,0,180,0,279,180,,,,,,,,,,
14/01/2026,9,1,140,0,279,125,,,,,,,,,,
14/01/2026,10,0,210,0,279,195,,,,,,,,,,
14/01/2026,10,1,230,0,279,215,,,,,,,,,,
14/01/2026,11,0,225,0,279,245,,,,,,,,,,
14/01/2026,11,1,280,0,279,280,,,,,,,,,,
14/01/2026,12,0,400,0,279,400,,,,,,,,,,
14/01/2026,12,1,310,0,279,310,,,,,,,,,,
14/01/2026,13,0,250,0,279,250,,,,,,,,,,
14/01/2026,13,1,270,0,279,270,,,,,,,,,,
14/01/2026,14,0,120,0,279,100,,,,,,,,,,
14/01/2026,14,1,110,0,279,125,,,,,,,,,,
14/01/2026,15,0,250,0,279,250,,,,,,,,,,
14/01/2026,15,1,180,0,279,175,,,,,,,,,,
14/01/2026,16,0,235,0,279,245,,,,,,,,,,
14/01/2026,16,1,275,0,279,275,,,,,,,,,,
13/01/2026,1,0,500,0,279,550,,,,,,,,,,
13/01/2026,1,1,450,0,279,425,,,,,,,,,,
13/01/2026,2,0,350,0,279,350,,,,,,,,,,
13/01/2026,2,1,240,0,279,285,,,,,,,,,,
13/01/2026,3,0,220,0,279,220,,,,,,,,,,
13/01/2026,3,1,175,0,279,205,,,,,,,,,,
13/01/2026,4,0,450,0,279,450,,,,,,,,,,
13/01/2026,4,1,475,0,279,450,,,,,,,,,,
13/01/2026,5,0,300,0,279,350,,,,,,,,,,
13/01/2026,5,1,325,0,279,275,,,,,,,,,,
13/01/2026,6,0,130,0,279,130,,,,,,,,,,
13/01/2026,6,1,105,0,279,110,,,,,,,,,,
13/01/2026,7,0,300,0,279,300,,,,,,,,,,
13/01/2026,7,1,265,0,279,275,,,,,,,,,,
13/01/2026,8,0,700,0,279,650,,,,,,,,,,
13/01/2026,8,1,750,0,279,575,,,,,,,,,,
13/01/2026,9,0,200,0,279,180,,,,,,,,,,
13/01/2026,9,1,140,0,279,140,,,,,,,,,,
13/01/2026,10,0,200,0,279,210,,,,,,,,,,
13/01/2026,10,1,220,0,279,230,,,,,,,,,,
13/01/2026,11,0,235,0,279,225,,,,,,,,,,
13/01/2026,11,1,255,0,279,245,,,,,,,,,,
13/01/2026,12,0,387,0,279,400,,,,,,,,,,
13/01/2026,12,1,310,0,279,310,,,,,,,,,,
13/01/2026,13,0,250,0,279,250,,,,,,,,,,
13/01/2026,13,1,270,0,279,270,,,,,,,,,,
13/01/2026,14,0,120,0,279,120,,,,,,,,,,
13/01/2026,14,1,165,0,279,110,,,,,,,,,,
13/01/2026,15,0,250,0,279,250,,,,,,,,,,
13/01/2026,15,1,175,0,279,180,,,,,,,,,,
13/01/2026,16,0,245,0,279,235,,,,,,,,,,
13/01/2026,16,1,275,0,279,275,,,,,,,,,,
12/01/2026,1,0,400,0,279,500,,,,,,,,,,
12/01/2026,1,1,300,0,279,450,,,,,,,,,,
12/01/2026,2,0,350,0,279,350,,,,,,,,,,
12/01/2026,2,1,285,0,279,240,,,,,,,,,,
12/01/2026,3,0,200,0,279,220,,,,,,,,,,
12/01/2026,3,1,175,0,279,175,,,,,,,,,,
12/01/2026,4,0,500,0,279,450,,,,,,,,,,
12/01/2026,4,1,490,0,279,475,,,,,,,,,,
12/01/2026,5,0,350,0,279,300,,,,,,,,,,
12/01/2026,5,1,275,0,279,325,,,,,,,,,,
12/01/2026,6,0,130,0,279,130,,,,,,,,,,
12/01/2026,6,1,105,0,279,105,,,,,,,,,,
12/01/2026,7,0,300,0,279,300,,,,,,,,,,
12/01/2026,7,1,275,0,279,265,,,,,,,,,,
12/01/2026,8,0,700,0,279,700,,,,,,,,,,
12/01/2026,8,1,625,0,279,750,,,,,,,,,,
12/01/2026,9,0,200,0,279,200,,,,,,,,,,
12/01/2026,9,1,165,0,279,140,,,,,,,,,,
12/01/2026,10,0,235,0,279,200,,,,,,,,,,
12/01/2026,10,1,255,0,279,220,,,,,,,,,,
12/01/2026,11,0,205,0,279,235,,,,,,,,,,
12/01/2026,11,1,225,0,279,255,,,,,,,,,,
12/01/2026,12,0,388,0,279,387,,,,,,,,,,
12/01/2026,12,1,310,0,279,310,,,,,,,,,,
12/01/2026,13,0,250,0,279,250,,,,,,,,,,
12/01/2026,13,1,270,0,279,270,,,,,,,,,,
12/01/2026,14,0,120,0,279,120,,,,,,,,,,
12/01/2026,14,1,125,0,279,165,,,,,,,,,,
12/01/2026,15,0,250,0,279,250,,,,,,,,,,
12/01/2026,15,1,185,0,279,175,,,,,,,,,,
12/01/2026,16,0,245,0,279,245,,,,,,,,,,
12/01/2026,16,1,295,0,279,275,,,,,,,,,,
11/01/2026,1,0,400,0,279,400,,,,,,,,,,
11/01/2026,1,1,450,0,279,300,,,,,,,,,,
11/01/2026,2,0,400,0,279,350,,,,,,,,,,
11/01/2026,2,1,325,0,279,285,,,,,,,,,,
11/01/2026,3,0,250,0,279,200,,,,,,,,,,
11/01/2026,3,1,190,0,279,175,,,,,,,,,,
11/01/2026,4,0,500,0,279,500,,,,,,,,,,
11/01/2026,4,1,475,0,279,490,,,,,,,,,,
11/01/2026,5,0,350,0,279,350,,,,,,,,,,
11/01/2026,5,1,300,0,279,275,,,,,,,,,,
11/01/2026,6,0,120,0,279,130,,,,,,,,,,
11/01/2026,6,1,115,0,279,105,,,,,,,,,,
11/01/2026,7,0,300,0,279,300,,,,,,,,,,
11/01/2026,7,1,275,0,279,275,,,,,,,,,,
11/01/2026,8,0,700,0,279,700,,,,,,,,,,
11/01/2026,8,1,850,0,279,625,,,,,,,,,,
11/01/2026,9,0,200,0,279,200,,,,,,,,,,
11/01/2026,9,1,160,0,279,165,,,,,,,,,,
11/01/2026,10,0,280,0,279,210,,,,,,,,,,
11/01/2026,10,1,235,0,279,300,,,,,,,,,,
11/01/2026,11,0,205,0,279,225,,,,,,,,,,
11/01/2026,11,1,280,0,279,280,,,,,,,,,,
11/01/2026,12,0,375,0,279,388,,,,,,,,,,
11/01/2026,12,1,310,0,279,310,,,,,,,,,,
11/01/2026,13,0,250,0,279,250,,,,,,,,,,
11/01/2026,13,1,270,0,279,270,,,,,,,,,,
11/01/2026,14,0,120,0,279,120,,,,,,,,,,
11/01/2026,14,1,135,0,279,125,,,,,,,,,,
11/01/2026,15,0,250,0,279,250,,,,,,,,,,
11/01/2026,15,1,205,0,279,185,,,,,,,,,,
11/01/2026,16,0,265,0,279,245,,,,,,,,,,
11/01/2026,16,1,285,0,279,295,,,,,,,,,,
10/01/2026,1,0,400,0,279,400,,,,,,,,,,
10/01/2026,1,1,450,0,279,300,,,,,,,,,,
10/01/2026,2,0,400,0,279,350,,,,,,,,,,
10/01/2026,2,1,325,0,279,285,,,,,,,,,,
10/01/2026,3,0,250,0,279,200,,,,,,,,,,
10/01/2026,3,1,190,0,279,175,,,,,,,,,,
10/01/2026,4,0,500,0,279,500,,,,,,,,,,
10/01/2026,4,1,475,0,279,490,,,,,,,,,,
10/01/2026,5,0,350,0,279,350,,,,,,,,,,
10/01/2026,5,1,300,0,279,275,,,,,,,,,,
10/01/2026,6,0,120,0,279,130,,,,,,,,,,
10/01/2026,6,1,115,0,279,105,,,,,,,,,,
10/01/2026,7,0,300,0,279,300,,,,,,,,,,
10/01/2026,7,1,275,0,279,275,,,,,,,,,,
10/01/2026,8,0,700,0,279,700,,,,,,,,,,
10/01/2026,8,1,850,0,279,625,,,,,,,,,,
10/01/2026,9,0,200,0,279,200,,,,,,,,,,
10/01/2026,9,1,160,0,279,165,,,,,,,,,,
10/01/2026,10,0,280,0,279,210,,,,,,,,,,
10/01/2026,10,1,235,0,279,300,,,,,,,,,,
10/01/2026,11,0,205,0,279,225,,,,,,,,,,
10/01/2026,11,1,280,0,279,280,,,,,,,,,,
10/01/2026,12,0,375,0,279,388,,,,,,,,,,
10/01/2026,12,1,310,0,279,310,,,,,,,,,,
10/01/2026,13,0,250,0,279,250,,,,,,,,,,
10/01/2026,13,1,270,0,279,270,,,,,,,,,,
10/01/2026,14,0,120,0,279,120,,,,,,,,,,
10/01/2026,14,1,135,0,279,125,,,,,,,,,,
10/01/2026,15,0,250,0,279,250,,,,,,,,,,
10/01/2026,15,1,205,0,279,185,,,,,,,,,,
10/01/2026,16,0,265,0,279,245,,,,,,,,,,
10/01/2026,16,1,285,0,279,295,,,,,,,,,,
09/01/2026,1,0,400,0,279,400,,,,,,,,,,
09/01/2026,1,1,450,0,279,300,,,,,,,,,,
09/01/2026,2,0,400,0,279,350,,,,,,,,,,
09/01/2026,2,1,325,0,279,285,,,,,,,,,,
09/01/2026,3,0,250,0,279,200,,,,,,,,,,
09/01/2026,3,1,190,0,279,175,,,,,,,,,,
09/01/2026,4,0,500,0,279,500,,,,,,,,,,
09/01/2026,4,1,475,0,279,490,,,,,,,,,,
09/01/2026,5,0,350,0,279,350,,,,,,,,,,
09/01/2026,5,1,300,0,279,275,,,,,,,,,,
09/01/2026,6,0,120,0,279,130,,,,,,,,,,
09/01/2026,6,1,115,0,279,105,,,,,,,,,,
09/01/2026,7,0,300,0,279,300,,,,,,,,,,
09/01/2026,7,1,275,0,279,275,,,,,,,,,,
09/01/2026,8,0,700,0,279,700,,,,,,,,,,
09/01/2026,8,1,850,0,279,625,,,,,,,,,,
09/01/2026,9,0,200,0,279,200,,,,,,,,,,
09/01/2026,9,1,160,0,279,165,,,,,,,,,,
09/01/2026,10,0,280,0,279,210,,,,,,,,,,
09/01/2026,10,1,235,0,279,300,,,,,,,,,,
09/01/2026,11,0,205,0,279,225,,,,,,,,,,
09/01/2026,11,1,280,0,279,280,,,,,,,,,,
09/01/2026,12,0,375,0,279,388,,,,,,,,,,
09/01/2026,12,1,310,0,279,310,,,,,,,,,,
09/01/2026,13,0,250,0,279,250,,,,,,,,,,
09/01/2026,13,1,270,0,279,270,,,,,,,,,,
09/01/2026,14,0,120,0,279,120,,,,,,,,,,
09/01/2026,14,1,135,0,279,125,,,,,,,,,,
09/01/2026,15,0,250,0,279,250,,,,,,,,,,
09/01/2026,15,1,205,0,279,185,,,,,,,,,,
09/01/2026,16,0,265,0,279,245,,,,,,,,,,
09/01/2026,16,1,285,0,279,295,,,,,,,,,,
08/01/2026,1,0,600,0,279,400,,,,,,,,,,
08/01/2026,1,1,575,0,279,450,,,,,,,,,,
08/01/2026,2,0,450,0,279,400,,,,,,,,,,
08/01/2026,2,1,410,0,279,325,,,,,,,,,,
08/01/2026,3,0,300,0,279,250,,,,,,,,,,
08/01/2026,3,1,195,0,279,190,,,,,,,,,,
08/01/2026,4,0,550,0,279,500,,,,,,,,,,
08/01/2026,4,1,450,0,279,475,,,,,,,,,,
08/01/2026,5,0,400,0,279,350,,,,,,,,,,
08/01/2026,5,1,425,0,279,300,,,,,,,,,,
08/01/2026,6,0,120,0,279,120,,,,,,,,,,
08/01/2026,6,1,125,0,279,115,,,,,,,,,,
08/01/2026,7,0,300,0,279,340,,,,,,,,,,
08/01/2026,7,1,235,0,279,275,,,,,,,,,,
08/01/2026,8,0,700,0,279,695,,,,,,,,,,
08/01/2026,8,1,850,0,279,100,,,,,,,,,,
08/01/2026,9,0,200,0,279,200,,,,,,,,,,
08/01/2026,9,1,155,0,279,160,,,,,,,,,,
08/01/2026,10,0,280,0,279,210,,,,,,,,,,
08/01/2026,10,1,300,0,279,230,,,,,,,,,,
08/01/2026,11,0,205,0,279,225,,,,,,,,,,
08/01/2026,11,1,280,0,279,280,,,,,,,,,,
08/01/2026,12,0,360,0,279,375,,,,,,,,,,
08/01/2026,12,1,330,0,279,310,,,,,,,,,,
08/01/2026,13,0,250,0,279,250,,,,,,,,,,
08/01/2026,13,1,270,0,279,270,,,,,,,,,,
08/01/2026,14,0,100,0,279,120,,,,,,,,,,
08/01/2026,14,1,145,0,279,135,,,,,,,,,,
08/01/2026,15,0,250,0,279,250,,,,,,,,,,
08/01/2026,15,1,135,0,279,205,,,,,,,,,,
08/01/2026,16,0,240,0,279,265,,,,,,,,,,
08/01/2026,16,1,275,0,279,285,,,,,,,,,,
07/01/2026,1,0,700,0,279,600,,,,,,,,,,
07/01/2026,1,1,415,0,279,575,,,,,,,,,,
07/01/2026,2,0,400,0,279,450,,,,,,,,,,
07/01/2026,2,1,350,0,279,410,,,,,,,,,,
07/01/2026,3,0,300,0,279,300,,,,,,,,,,
07/01/2026,3,1,210,0,279,195,,,,,,,,,,
07/01/2026,4,0,500,0,279,550,,,,,,,,,,
07/01/2026,4,1,425,0,279,450,,,,,,,,,,
07/01/2026,5,0,400,0,279,400,,,,,,,,,,
07/01/2026,5,1,325,0,279,425,,,,,,,,,,
07/01/2026,6,0,130,0,279,120,,,,,,,,,,
07/01/2026,6,1,125,0,279,125,,,,,,,,,,
07/01/2026,7,0,300,0,279,300,,,,,,,,,,
07/01/2026,7,1,275,0,279,235,,,,,,,,,,
07/01/2026,8,0,700,0,279,750,,,,,,,,,,
07/01/2026,8,1,695,0,279,800,,,,,,,,,,
07/01/2026,9,0,200,0,279,200,,,,,,,,,,
07/01/2026,9,1,140,0,279,155,,,,,,,,,,
07/01/2026,10,0,225,0,279,245,,,,,,,,,,
07/01/2026,10,1,295,0,279,290,,,,,,,,,,
07/01/2026,11,0,205,0,279,225,,,,,,,,,,
07/01/2026,11,1,280,0,279,280,,,,,,,,,,
07/01/2026,12,0,365,0,279,360,,,,,,,,,,
07/01/2026,12,1,290,0,279,330,,,,,,,,,,
07/01/2026,13,0,253,0,279,250,,,,,,,,,,
07/01/2026,13,1,270,0,279,270,,,,,,,,,,
07/01/2026,14,0,100,0,279,100,,,,,,,,,,
07/01/2026,14,1,125,0,279,145,,,,,,,,,,
07/01/2026,15,0,250,0,279,250,,,,,,,,,,
07/01/2026,15,1,165,0,279,135,,,,,,,,,,
07/01/2026,16,0,235,0,279,240,,,,,,,,,,
07/01/2026,16,1,275,0,279,275,,,,,,,,,,
06/01/2026,1,0,600,0,279,700,,,,,,,,,,
06/01/2026,1,1,475,0,279,415,,,,,,,,,,
06/01/2026,2,0,400,0,279,400,,,,,,,,,,
06/01/2026,2,1,375,0,279,350,,,,,,,,,,
06/01/2026,3,0,300,0,279,300,,,,,,,,,,
06/01/2026,3,1,190,0,279,210,,,,,,,,,,
06/01/2026,4,0,500,0,279,500,,,,,,,,,,
06/01/2026,4,1,375,0,279,425,,,,,,,,,,
06/01/2026,5,0,400,0,279,400,,,,,,,,,,
06/01/2026,5,1,425,0,279,325,,,,,,,,,,
06/01/2026,6,0,130,0,279,130,,,,,,,,,,
06/01/2026,6,1,115,0,279,125,,,,,,,,,,
06/01/2026,7,0,350,0,279,300,,,,,,,,,,
06/01/2026,7,1,235,0,279,275,,,,,,,,,,
06/01/2026,8,0,700,0,279,700,,,,,,,,,,
06/01/2026,8,1,650,0,279,750,,,,,,,,,,
06/01/2026,9,0,200,0,279,200,,,,,,,,,,
06/01/2026,9,1,155,0,279,140,,,,,,,,,,
06/01/2026,10,0,225,0,279,245,,,,,,,,,,
06/01/2026,10,1,292,0,279,295,,,,,,,,,,
06/01/2026,11,0,280,0,279,280,,,,,,,,,,
06/01/2026,11,1,158,0,279,144,,,,,,,,,,
06/01/2026,12,0,363,0,279,365,,,,,,,,,,
06/01/2026,12,1,290,0,279,380,,,,,,,,,,
06/01/2026,13,0,250,0,279,253,,,,,,,,,,
06/01/2026,13,1,270,0,279,270,,,,,,,,,,
06/01/2026,14,0,100,0,279,100,,,,,,,,,,
06/01/2026,14,1,125,0,279,125,,,,,,,,,,
06/01/2026,15,0,250,0,279,250,,,,,,,,,,
06/01/2026,15,1,145,0,279,165,,,,,,,,,,
06/01/2026,16,0,225,0,279,235,,,,,,,,,,
06/01/2026,16,1,275,0,279,275,,,,,,,,,,
05/01/2026,1,0,400,0,277,600,,,,,,,,,,
05/01/2026,1,1,650,0,277,475,,,,,,,,,,
05/01/2026,2,0,300,0,277,400,,,,,,,,,,
05/01/2026,2,1,360,0,277,375,,,,,,,,,,
05/01/2026,3,0,300,0,277,300,,,,,,,,,,
05/01/2026,3,1,240,0,277,190,,,,,,,,,,
05/01/2026,4,0,450,0,277,500,,,,,,,,,,
05/01/2026,4,1,315,0,277,375,,,,,,,,,,
05/01/2026,5,0,350,0,277,400,,,,,,,,,,
05/01/2026,5,1,450,0,277,425,,,,,,,,,,
05/01/2026,6,0,130,0,277,130,,,,,,,,,,
05/01/2026,6,1,125,0,277,115,,,,,,,,,,
05/01/2026,7,0,400,0,277,350,,,,,,,,,,
05/01/2026,7,1,250,0,277,235,,,,,,,,,,
05/01/2026,8,0,700,0,277,150,,,,,,,,,,
05/01/2026,8,1,650,0,277,100,,,,,,,,,,
05/01/2026,9,0,200,0,277,200,,,,,,,,,,
05/01/2026,9,1,140,0,277,155,,,,,,,,,,
05/01/2026,10,0,240,0,277,260,,,,,,,,,,
05/01/2026,10,1,295,0,277,292,,,,,,,,,,
05/01/2026,11,0,235,0,277,255,,,,,,,,,,
05/01/2026,11,1,280,0,277,280,,,,,,,,,,
05/01/2026,12,0,330,0,277,363,,,,,,,,,,
05/01/2026,12,1,290,0,277,380,,,,,,,,,,
05/01/2026,13,0,250,0,277,250,,,,,,,,,,
05/01/2026,13,1,270,0,277,270,,,,,,,,,,
05/01/2026,14,0,100,0,277,100,,,,,,,,,,
05/01/2026,14,1,115,0,277,125,,,,,,,,,,
05/01/2026,15,0,250,0,277,250,,,,,,,,,,
05/01/2026,15,1,165,0,277,145,,,,,,,,,,
05/01/2026,16,0,275,0,277,225,,,,,,,,,,
05/01/2026,16,1,275,0,277,275,,,,,,,,,,
04/01/2026,1,0,500,0,277,400,,,,,,,,,,
04/01/2026,1,1,625,0,277,650,,,,,,,,,,
04/01/2026,2,0,300,0,277,300,,,,,,,,,,
04/01/2026,2,1,275,0,277,360,,,,,,,,,,
04/01/2026,3,0,250,0,277,300,,,,,,,,,,
04/01/2026,3,1,225,0,277,240,,,,,,,,,,
04/01/2026,4,0,400,0,277,450,,,,,,,,,,
04/01/2026,4,1,325,0,277,315,,,,,,,,,,
04/01/2026,5,0,450,0,277,350,,,,,,,,,,
04/01/2026,5,1,450,0,277,450,,,,,,,,,,
04/01/2026,6,0,120,0,277,130,,,,,,,,,,
04/01/2026,6,1,115,0,277,125,,,,,,,,,,
04/01/2026,7,0,400,0,277,400,,,,,,,,,,
04/01/2026,7,1,250,0,277,250,,,,,,,,,,
04/01/2026,8,0,150,0,277,100,,,,,,,,,,
04/01/2026,8,1,100,0,277,30,,,,,,,,,,
04/01/2026,9,0,200,0,277,200,,,,,,,,,,
04/01/2026,9,1,175,0,277,140,,,,,,,,,,
04/01/2026,10,0,225,0,277,240,,,,,,,,,,
04/01/2026,10,1,245,0,277,260,,,,,,,,,,
04/01/2026,11,0,235,0,277,255,,,,,,,,,,
04/01/2026,11,1,280,0,277,178,,,,,,,,,,
04/01/2026,12,0,330,0,277,330,,,,,,,,,,
04/01/2026,12,1,290,0,277,290,,,,,,,,,,
04/01/2026,13,0,250,0,277,250,,,,,,,,,,
